0	0000,0000,0000,0006,0000,0000,0000,0016,0000,0000,0000,0052,0000,0000,0000,002e,0000,0000,0000,0058,0000,0000,0000,007b,0000,0000,0000,0000
1	0000,0000,0000,0006,0000,0000,0000,0016,0000,0000,0000,0041,0000,0000,0000,0030,0000,0000,0000,0000,0000,0000,0000,0082,0000,0000,0000,0000
2	0000,0000,0000,0001,0000,0000,0000,0016,0000,0000,0000,003d,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,00a0
3	0000,0000,0000,0007,0000,0000,0000,000c,0000,0000,0000,0042,0000,0000,0000,003c,0000,0000,0000,0000,0000,0000,0000,0063,0000,0000,0000,0000
4	0000,0000,0000,0003,0000,0000,0000,0011,0000,0000,0000,0043,0000,0000,0000,0035,0000,0000,0000,0000,0000,0000,0000,006f,0000,0000,0000,009b
5	0000,0000,0000,0002,0000,0000,0000,000b,0000,0000,0000,0052,0000,0000,0000,002f,0000,0000,0000,0000,0000,0000,0000,005d,0000,0000,0000,0088
6	0000,0000,0000,0008,0000,0000,0000,000d,0000,0000,0000,0045,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0081,0000,0000,0000,009e
7	0000,0000,0000,0004,0000,0000,0000,0011,0000,0000,0000,003e,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0083,0000,0000,0000,00a4
8	0000,0000,0000,0001,0000,0000,0000,001b,0000,0000,0000,004c,0000,0000,0000,001c,0000,0000,0000,0057,0000,0000,0000,0000,0000,0000,0000,008b
9	0000,0000,0000,0007,0000,0000,0000,000b,0000,0000,0000,004f,0000,0000,0000,003b,0000,0000,0000,0059,0000,0000,0000,007c,0000,0000,0000,00a1
10	0000,0000,0000,0001,0000,0000,0000,0010,0000,0000,0000,0047,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,006f,0000,0000,0000,008a
11	0000,0000,0000,0004,0000,0000,0000,000e,0000,0000,0000,0040,0000,0000,0000,0028,0000,0000,0000,0000,0000,0000,0000,0079,0000,0000,0000,0099
12	0000,0000,0000,0002,0000,0000,0000,000b,0000,0000,0000,0051,0000,0000,0000,002e,0000,0000,0000,0000,0000,0000,0000,005f,0000,0000,0000,00a1
13	0000,0000,0000,0008,0000,0000,0000,0009,0000,0000,0000,0044,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0064,0000,0000,0000,009c
14	0000,0000,0000,0006,0000,0000,0000,000c,0000,0000,0000,003d,0000,0000,0000,003b,0000,0000,0000,0055,0000,0000,0000,007d,0000,0000,0000,0000
15	0000,0000,0000,0004,0000,0000,0000,0012,0000,0000,0000,0053,0000,0000,0000,0035,0000,0000,0000,0000,0000,0000,0000,0061,0000,0000,0000,0093
16	0000,0000,0000,0007,0000,0000,0000,000e,0000,0000,0000,0042,0000,0000,0000,002f,0000,0000,0000,0058,0000,0000,0000,0063,0000,0000,0000,0096
17	0000,0000,0000,0005,0000,0000,0000,0018,0000,0000,0000,0043,0000,0000,0000,0025,0000,0000,0000,0057,0000,0000,0000,005c,0000,0000,0000,008e
18	0000,0000,0000,0007,0000,0000,0000,0016,0000,0000,0000,0046,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,0082,0000,0000,0000,0000
19	0000,0000,0000,0002,0000,0000,0000,0018,0000,0000,0000,0047,0000,0000,0000,003a,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0089
20	0000,0000,0000,0003,0000,0000,0000,0012,0000,0000,0000,003d,0000,0000,0000,0038,0000,0000,0000,0000,0000,0000,0000,005b,0000,0000,0000,008b
21	0000,0000,0000,0006,0000,0000,0000,0009,0000,0000,0000,0042,0000,0000,0000,0037,0000,0000,0000,0000,0000,0000,0000,005f,0000,0000,0000,0000
22	0000,0000,0000,0005,0000,0000,0000,001b,0000,0000,0000,004f,0000,0000,0000,0025,0000,0000,0000,0057,0000,0000,0000,0080,0000,0000,0000,009e
23	0000,0000,0000,0001,0000,0000,0000,0019,0000,0000,0000,0042,0000,0000,0000,0023,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,008b
24	0000,0000,0000,0001,0000,0000,0000,0009,0000,0000,0000,004a,0000,0000,0000,002f,0000,0000,0000,0000,0000,0000,0000,005c,0000,0000,0000,0091
25	0000,0000,0000,0003,0000,0000,0000,000b,0000,0000,0000,0043,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,0067,0000,0000,0000,0000
26	0000,0000,0000,0001,0000,0000,0000,000e,0000,0000,0000,003d,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,007c,0000,0000,0000,00a4
27	0000,0000,0000,0006,0000,0000,0000,0012,0000,0000,0000,0042,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0078,0000,0000,0000,0085
28	0000,0000,0000,0007,0000,0000,0000,0018,0000,0000,0000,0052,0000,0000,0000,001f,0000,0000,0000,0059,0000,0000,0000,0000,0000,0000,0000,0088
29	0000,0000,0000,0003,0000,0000,0000,0018,0000,0000,0000,004c,0000,0000,0000,0025,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000
30	0000,0000,0000,0001,0000,0000,0000,0012,0000,0000,0000,0049,0000,0000,0000,0028,0000,0000,0000,0000,0000,0000,0000,0080,0000,0000,0000,0000
31	0000,0000,0000,0008,0000,0000,0000,0010,0000,0000,0000,0047,0000,0000,0000,0025,0000,0000,0000,0058,0000,0000,0000,005f,0000,0000,0000,009b
32	0000,0000,0000,0007,0000,0000,0000,000e,0000,0000,0000,0050,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0069,0000,0000,0000,0095
33	0000,0000,0000,0007,0000,0000,0000,0015,0000,0000,0000,0043,0000,0000,0000,003b,0000,0000,0000,0000,0000,0000,0000,0082,0000,0000,0000,0093
34	0000,0000,0000,0006,0000,0000,0000,0009,0000,0000,0000,004f,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0078,0000,0000,0000,008a
35	0000,0000,0000,0003,0000,0000,0000,000f,0000,0000,0000,003d,0000,0000,0000,0034,0000,0000,0000,0000,0000,0000,0000,006f,0000,0000,0000,0000
36	0000,0000,0000,0007,0000,0000,0000,000e,0000,0000,0000,0042,0000,0000,0000,0025,0000,0000,0000,0000,0000,0000,0000,0075,0000,0000,0000,0000
37	0000,0000,0000,0003,0000,0000,0000,000a,0000,0000,0000,0042,0000,0000,0000,001c,0000,0000,0000,0058,0000,0000,0000,007b,0000,0000,0000,008c
38	0000,0000,0000,0003,0000,0000,0000,0009,0000,0000,0000,0043,0000,0000,0000,001f,0000,0000,0000,0054,0000,0000,0000,006f,0000,0000,0000,0000
39	0000,0000,0000,0001,0000,0000,0000,0012,0000,0000,0000,0040,0000,0000,0000,002f,0000,0000,0000,0000,0000,0000,0000,006c,0000,0000,0000,0091
40	0000,0000,0000,0005,0000,0000,0000,000e,0000,0000,0000,004d,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,005e,0000,0000,0000,00a3
41	0000,0000,0000,0007,0000,0000,0000,000e,0000,0000,0000,004d,0000,0000,0000,0037,0000,0000,0000,0000,0000,0000,0000,006f,0000,0000,0000,00a0
42	0000,0000,0000,0008,0000,0000,0000,000e,0000,0000,0000,0044,0000,0000,0000,0024,0000,0000,0000,0000,0000,0000,0000,005e,0000,0000,0000,0086
43	0000,0000,0000,0006,0000,0000,0000,000b,0000,0000,0000,0044,0000,0000,0000,0030,0000,0000,0000,0059,0000,0000,0000,0083,0000,0000,0000,0000
44	0000,0000,0000,0005,0000,0000,0000,0012,0000,0000,0000,0044,0000,0000,0000,0025,0000,0000,0000,0057,0000,0000,0000,0081,0000,0000,0000,0086
45	0000,0000,0000,0006,0000,0000,0000,0009,0000,0000,0000,0047,0000,0000,0000,0039,0000,0000,0000,0059,0000,0000,0000,006e,0000,0000,0000,0000
46	0000,0000,0000,0004,0000,0000,0000,0012,0000,0000,0000,0048,0000,0000,0000,001c,0000,0000,0000,0000,0000,0000,0000,0063,0000,0000,0000,0091
47	0000,0000,0000,0002,0000,0000,0000,0014,0000,0000,0000,003d,0000,0000,0000,001f,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,00a0
